Account Short Name,Segment,Key Account Type,V1,Perf Reporting?,,2018 Division,2019 Division,2019 BMP Label,2020 Division,2020 BU Label,2020 DIV Label,2020 Business Model Label,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",,2019 Prod Code,2020 Prod Code,Domain,EcoX,Margin,,OpportunityScope,EcoX?,EcoX Domain1,EcoX Domain2,EcoX Domain3,,"2020 For 
Reporting",2020 Division,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",US Reporting Div,NAM Ops?,"US P&L, L1","US P&L, L2","US P&L, L3",,,Services,,,ESX L2L3,,,Adv+SW,,,,,,,,UPD 3.2.2021,,,,,,,,,,,,,Flywheel Ref Data,,,,
Nucor Steel,MMM,CTA,Jon Urso,1,,,,,,,,,,SIOLG - Smart Infra Oil & Gas,SIOLG,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Plant;Commercial & Industrial,1,Plant,0,0,,,,,SIOLG - Smart Infra Oil & Gas,SIOLG,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Power,INIBS,OPERATE RECURRING,ASSET ADVISOR PREVENT,0,INIBS-OPERATE RECURRING-ASSET ADVISOR PREVENT,Power Asset Advisor,,SPBPP-ELEMENT MANAGT SOFTWAR-DISTRIBUTED SOFTWARE,SmartConnect,SPBPP,ELEMENT MANAGT SOFTWAR,DISTRIBUTED SOFTWARE,SPBPP-ELEMENT MANAGT SOFTWAR-DISTRIBUTED SOFTWARE,0,0,ENM SECURE POWER,BUSINESS POWER PRODUCT,SPBPP-SmartConnect,IT,,,,,,
Nutrien - Agrium,MMM,CTA,Not USA,1,,,,,,,,,,SWDSO - SW - DESIGN SIMU OPT,SWDSO,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Plant;Connectivity EcoSystem,1,Plant,0,0,,,,,SWDSO - SW - DESIGN SIMU OPT,SWDSO,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Power,DPIBS,POWER ADVISOR CONTRACT,POWER ADVISOR CONTRACT,0,DPIBS-POWER ADVISOR CONTRACT-POWER ADVISOR CONTRACT,Power Advisor,,SPRSY-RACK SYSTEMS-PHYSICAL THREAT MANGT,Netbotz,SPRSY,RACK SYSTEMS,PHYSICAL THREAT MANGT,SPRSY-RACK SYSTEMS-PHYSICAL THREAT MANGT,0,0,ENM SECURE POWER,RACK SYSTEM,SPRSY-Netbotz,IT,,,,,,
Primero,MMM,CTA Candidate,Not USA,1,,,,,,,,,,SWHMI - SW-HMI & SUPERVISORY,SWHMI,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Plant;EcoStruxure Plant,1,Plant,0,0,,,,,SWHMI - SW-HMI & SUPERVISORY,SWHMI,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,IT,SPSFT,CLOUD BASED SOFTWARE,IT advisor,1,SPSFT-CLOUD BASED SOFTWARE-IT advisor,IT ADVISOR,,SPSFT-ACS CUSTOM SFTW ENG-CUSTOMER SPEC SWFT ENG,SPSFT,SPSFT,ACS CUSTOM SFTW ENG,CUSTOMER SPEC SWFT ENG,SPSFT-ACS CUSTOM SFTW ENG-CUSTOMER SPEC SWFT ENG,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-SPSFT,IT,,,,,,
Rio Tinto,MMM,Strategic,David Rogers,1,,,,,,,,,,SWOLG - SW-PIPELINE OIL&GAS,SWOLG,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Plant;EcoStruxure Power,1,Power,Plant,0,,,,,SWOLG - SW-PIPELINE OIL&GAS,SWOLG,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,Esx Control Advisor,0,IDPAS-ADVISOR DIGITAL OFFERS-Esx Control Advisor,PA CONTROL ADVISOR,,SPSFT-EIT PERPETUAL SFT LCNS-DATACENTER DESIGN & MN,SPSFT,SPSFT,EIT PERPETUAL SFT LCNS,DATACENTER DESIGN & MN,SPSFT-EIT PERPETUAL SFT LCNS-DATACENTER DESIGN & MN,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-SPSFT,IT,,,,,,
Saint Gobain,MMM,Strategic,Jon Urso,1,,,,,,,,,,SWOOP - SOFTWARE OPERATION &,SWOOP,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Power,1,Power,0,0,,,,,SWOOP - SOFTWARE OPERATION &,SWOOP,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,Esx Maintenance Adv,0,IDPAS-ADVISOR DIGITAL OFFERS-Esx Maintenance Adv,PA MAINT ADVISOR,,SPSFT-EIT PERPETUAL SFT LCNS-ENTERPRISE MANGT PRODU,SPSFT,SPSFT,EIT PERPETUAL SFT LCNS,ENTERPRISE MANGT PRODU,SPSFT-EIT PERPETUAL SFT LCNS-ENTERPRISE MANGT PRODU,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-SPSFT,IT,,,,,,
Sedgman Canada Limited,MMM,CTA,Not USA,1,,,,,,,,,,SWOPS - SW- OPTS INF ASSET M,SWOPS,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Power;ASCO/Schneider Cross Sell,1,Power,0,0,,,,,SWOPS - SW- OPTS INF ASSET M,SWOPS,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Power,ESSMS,DATA,GLOBAL DATA OPS,0,ESSMS-DATA-GLOBAL DATA OPS,Resource Advisor,,SPSFT-EIT RECURRING REVENUE-IT ADVISOR RECUR,EcoStruxure IT Expert,SPSFT,EIT RECURRING REVENUE,IT ADVISOR RECUR,SPSFT-EIT RECURRING REVENUE-IT ADVISOR RECUR,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-EcoStruxure IT Expert,IT,,,,,,
Steel Dynamics,MMM(excl),CTA Candidate,Removed,0,,,,,,,,,,SWTPS - SW - TRAD PLAN SCHED,SWTPS,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Power;Commercial & Industrial,1,Power,0,0,,,,,SWTPS - SW - TRAD PLAN SCHED,SWTPS,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Power,ESSMS,DATA,SOFTWARE,0,ESSMS-DATA-SOFTWARE,Resource Advisor,,SPSFT-EIT RECURRING REVENUE-IT EXPERT RECUR,EcoStruxure IT Expert,SPSFT,EIT RECURRING REVENUE,IT EXPERT RECUR,SPSFT-EIT RECURRING REVENUE-IT EXPERT RECUR,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-EcoStruxure IT Expert,IT,,,,,,
Techint,MMM,Strategic,Not USA,1,,,,,,,,,,ENIBS - Installed base Services,ENIBS,INIBS,Power Systems,OLD,Power Field Services,Power Field Services,,,,,,,,EcoStruxure Power;Connectivity EcoSystem,1,Power,0,0,,,,,ENIBS - Installed base Services,ENIBS,INIBS,Power Systems,OLD,Power Field Services,Power Field Services,Power,NAM Ops,Energy Management,Energy Mgmt Services,Power Services,,,,,,,,,,,,,,,,,SPSFT-EIT RECURRING REVENUE-MAINTENANCE RECUR,EcoStruxure IT Expert,SPSFT,EIT RECURRING REVENUE,MAINTENANCE RECUR,SPSFT-EIT RECURRING REVENUE-MAINTENANCE RECUR,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-EcoStruxure IT Expert,IT,,,,,,
Teck Resources,MMM,CTA,Not USA,1,,,,,,,,,,INIBS - LV & MV Field Services,INIBS,INIBS,Power Systems,Current,Power Field Services,Power Field Services,,,,,,,,EcoStruxure Power;Connectivity EcoSystem;ASCO/Schneider Cross Sell,1,Power,0,0,,,,,INIBS - LV & MV Field Services,INIBS,INIBS,Power Systems,Current,Power Field Services,Power Field Services,Power,NAM Ops,Energy Management,Energy Mgmt Services,Power Services,,,,,,,,,,,,,,,,,SPSFT-GATEWAY AND APPLIANCES-GATEWAY AND APPLIANCES,SPSFT,SPSFT,GATEWAY AND APPLIANCES,GATEWAY AND APPLIANCES,SPSFT-GATEWAY AND APPLIANCES-GATEWAY AND APPLIANCES,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-SPSFT,IT,,,,,,
US Steel,MMM,CTA,Jon Urso,1,,,,,,,,,,ENMCP - Primary MV components,ENMCP,INMCP,Power Systems,OLD,Power Products,Power Products,,,,,,,,EcoStruxure Power;Supplier B2B Initiative,1,Power,0,0,,,,,ENMCP - Primary MV components,ENMCP,PPMCP,Power Systems,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SPSFT-SPF OTHER  FOR SPSFT-FAMILY OTHER FOR SPSFT,SPSFT,SPSFT,SPF OTHER  FOR SPSFT,FAMILY OTHER FOR SPSFT,SPSFT-SPF OTHER  FOR SPSFT-FAMILY OTHER FOR SPSFT,1,0,ENM SECURE POWER,SECURE POWER SOFTWARE,SPSFT-SPSFT,IT,,,,,,
Vale,MMM,Strategic,Not USA,1,,,,,,,,,,INMCP - MV Product Components,INMCP,INMCP,Power Systems,Current,Power Products,Power Products,,,,,,,,E-mobility,0,0,0,0,,,,,INMCP - MV Product Components,INMCP,PPMCP,Power Systems,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUMON-IMSERV BUSINESS-IMSERV BUSINESS,Energy Monitoring Services,SUMON,IMSERV BUSINESS,IMSERV BUSINESS,SUMON-IMSERV BUSINESS-IMSERV BUSINESS,0,0,ENM SUSTAINABILITY,ENERGY MONIT SERV,SUMON-Energy Monitoring Services,Power,,,,,,
Vitro,MMM(excl),CTA,Removed,0,,,,,,,,,,PTACB - Air Circuits Breakers,PTACB,PTACB,,Current,Power Products,Power Products,,,,,,,,Eurotherm,0,0,0,0,,,,,PTACB - Air Circuits Breakers,PTACB,PPACB,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUMON-OLD GDPs-OLD GDPs,Energy Monitoring Services,SUMON,OLD GDPs,OLD GDPs,SUMON-OLD GDPs-OLD GDPs,0,0,ENM SUSTAINABILITY,ENERGY MONIT SERV,SUMON-Energy Monitoring Services,Power,,,,,,
ARUP,Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,PTATS - ASCO Automatic Transfer Switches,PTATS,PTATS,,Current,Power Products,Power Products,,,,,,,,Eurotherm;EcoStruxure IT;EcoStruxure Plant,1,IT,Plant,0,,,,,PTATS - ASCO Automatic Transfer Switches,PTATS,PPATS,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUMON-SFP OTHER FOR SUMON-FAMILY OTHER FOR SUMON,Energy Monitoring Services,SUMON,SFP OTHER FOR SUMON,FAMILY OTHER FOR SUMON,SUMON-SFP OTHER FOR SUMON-FAMILY OTHER FOR SUMON,0,0,ENM SUSTAINABILITY,ENERGY MONIT SERV,SUMON-Energy Monitoring Services,Power,,,,,,
Carlyle Airport Group,Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,"PTCCB - MCCBs, Earth Leakage and Switches",PTCCB,PTCCB,,Current,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building,0,0,0,0,,,,,"PTCCB - MCCBs, Earth Leakage and Switches",PTCCB,PPCCB,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-CLEANTECH-CLEANTECH,Renewable Advisory Services ,SUREN,CLEANTECH,CLEANTECH,SUREN-CLEANTECH-CLEANTECH,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
Dallas/Fort Worth International Airport (DFW),Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,PTCTR - Contactors,PTCTR,PTCTR,,Current,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;Cross-Selling with Invensys,0,0,0,0,,,,,PTCTR - Contactors,PTCTR,PPCTR,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-CLEANTECH-CONSULTING,Renewable Advisory Services ,SUREN,CLEANTECH,CONSULTING,SUREN-CLEANTECH-CONSULTING,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
Faith Group LLC,Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,PTLVB - Busways Power (IEC & NEMA),PTLVB,PTLVB,,Current,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;Cross-Selling with Invensys;EcoStruxure Plant,1,Plant,0,0,,,,,PTLVB - Busways Power (IEC & NEMA),PTLVB,PPLVB,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-CLEANTECH-EAC,Renewable Advisory Services ,SUREN,CLEANTECH,EAC,SUREN-CLEANTECH-EAC,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
Los Angeles World Airports (LAX  VNY),Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,PTLVS - LV Functional Enclosures,PTLVS,PTLVS,,Current,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;Cross-Selling with Invensys;Microgrid;Commercial & Industrial,0,0,0,0,,,,,PTLVS - LV Functional Enclosures,PTLVS,PPLVS,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-CLEANTECH-NEO,Renewable Advisory Services ,SUREN,CLEANTECH,NEO,SUREN-CLEANTECH-NEO,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
Massport Authority (BOS),Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,"PTPCL - ASCO Power Control Systems, Loadbanks and Firetrol",PTPCL,PTPCL,,Current,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;Datacenter;EcoStruxure Building,1,Building,0,0,,,,,"PTPCL - ASCO Power Control Systems, Loadbanks and Firetrol",PTPCL,PPPCL,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-CLEANTECH-PPA,Renewable Advisory Services ,SUREN,CLEANTECH,PPA,SUREN-CLEANTECH-PPA,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
Metropolitan Washington Airports Authority (DCA  IAD),Mobility - Airports(excl),CTA Candidate,Nick May,0,,,,,,,,,,PTUES - Universal Enclosures,PTUES,PTUES,,Current,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;Datacenter;EcoStruxure Building;EcoStruxure IT;EcoStruxure Power,1,Power,Building,IT,,,,,PTUES - Universal Enclosures,PTUES,PPUES,,Current,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-OLD GDPs-OLD GDPs,Renewable Advisory Services ,SUREN,OLD GDPs,OLD GDPs,SUREN-OLD GDPs-OLD GDPs,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
NYNJ Port Authority (LGA  JFK  EWR),Mobility - Airports,CTA Candidate,Nick May,1,,,,,,,,,,PWACB - Air Circuits Breakers,PWACB,PTACB,,OLD,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;Datacenter;Smart Grid,0,0,0,0,,,,,PWACB - Air Circuits Breakers,PWACB,PPACB,,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUREN-SFP OTHER FOR SUREN-FAMILY OTHER FOR SUREN,Renewable Advisory Services ,SUREN,SFP OTHER FOR SUREN,FAMILY OTHER FOR SUREN,SUREN-SFP OTHER FOR SUREN-FAMILY OTHER FOR SUREN,0,0,ENM SUSTAINABILITY,RENEWABLE ADVIS. SER,SUREN-Renewable Advisory Services ,Power,,,,,,
Vanderlande,Mobility - Airports(excl),CTA Candidate,Nick May,0,,,,,,,,,,"PWCCB - MCCBs, Earth Leak&Swit",PWCCB,PTCCB,,OLD,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;EcoStruxure Building,1,Building,0,0,,,,,"PWCCB - MCCBs, Earth Leak&Swit",PWCCB,PPCCB,,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-CLIENT MANAGEMENT-CLIENT MANAGEMENT,Supply & Sustainability Services,SUSUP,CLIENT MANAGEMENT,CLIENT MANAGEMENT,SUSUP-CLIENT MANAGEMENT-CLIENT MANAGEMENT,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
BMW,Mobility - Automotive(excl),CTA,Removed,0,,,,,,,,,,PWCTR - Contactors,PWCTR,PTCTR,,OLD,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;EcoStruxure Integrated Solution,1,Integrated Solution,0,0,,,,,PWCTR - Contactors,PWCTR,PPCTR,,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-DATA-DATA SOLUTIONS CONSULT,Supply & Sustainability Services,SUSUP,DATA,DATA SOLUTIONS CONSULT,SUSUP-DATA-DATA SOLUTIONS CONSULT,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Bridgestone,Mobility - Automotive,CTA,Scott Cook,1,,,,,,,,,,PWLVB - Busways Power (IEC & NEMA),PWLVB,PTLVB,,OLD,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;EcoStruxure Integrated Solution;Commercial & Industrial,1,Integrated Solution,0,0,,,,,PWLVB - Busways Power (IEC & NEMA),PWLVB,PPLVB,,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-DATA-GLOBAL DATA OPS,Supply & Sustainability Services,SUSUP,DATA,GLOBAL DATA OPS,SUSUP-DATA-GLOBAL DATA OPS,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Chanje,Mobility - Automotive(excl),CTA Candidate,Removed,0,,,,,,,,,,PWLVS - LV Functional Enclosures,PWLVS,PTLVS,,OLD,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;EcoStruxure Integrated Solution;Cross-Selling with Invensys;Microgrid;Commercial & Industrial,1,Integrated Solution,0,0,,,,,PWLVS - LV Functional Enclosures,PWLVS,PPLVS,,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-DATA-SOFTWARE,Supply & Sustainability Services,SUSUP,DATA,SOFTWARE,SUSUP-DATA-SOFTWARE,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Stellantis,Mobility - Automotive,CTA,Scott Cook,1,,,,,,,,,,PWUES - Universal Enclosures,PWUES,PTUES,,OLD,Power Products,Power Products,,,,,,,,Green/Energy Efficient Building;EcoStruxure Integrated Solution;Smart City;Commercial & Industrial,1,Integrated Solution,0,0,,,,,PWUES - Universal Enclosures,PWUES,PPUES,,OLD,Power Products,Power Products,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-OLD GDPs-OLD GDPs,Supply & Sustainability Services,SUSUP,OLD GDPs,OLD GDPs,SUSUP-OLD GDPs-OLD GDPs,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Daimler,Mobility - Automotive,Strategic,Scott Cook,1,,,,,,,,,,ENMVE - MV Equipment,ENMVE,INMVE,,OLD,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;EcoStruxure Integrated Solution;Telvent-SE Synergy;Cross-Selling with Invensys,1,Integrated Solution,0,0,,,,,ENMVE - MV Equipment,ENMVE,PSMVE,,OLD,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SFP OTHER FOR SUSUP-FAMILY OTHER FOR SUSUP,Supply & Sustainability Services,SUSUP,SFP OTHER FOR SUSUP,FAMILY OTHER FOR SUSUP,SUSUP-SFP OTHER FOR SUSUP-FAMILY OTHER FOR SUSUP,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Ford Group,Mobility - Automotive,Strategic,Andrew Watson,1,,,,,,,,,,ENMVP - Secondary MV products,ENMVP,INMVP,,OLD,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;EcoStruxure Power,1,Power,0,0,,,,,ENMVP - Secondary MV products,ENMVP,PSIPS,,OLD,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUPPLY-ADV SOLUTIONS CONSULT,Supply & Sustainability Services,SUSUP,SUPPLY,ADV SOLUTIONS CONSULT,SUSUP-SUPPLY-ADV SOLUTIONS CONSULT,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
General Motors-Opel,Mobility - Automotive,Strategic,Andrew Watson,1,,,,,,,,,,ENMVS - MV/LV Substations,ENMVS,INMVE,,OLD,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;Microgrid,0,0,0,0,,,,,ENMVS - MV/LV Substations,ENMVS,PSMVE,,OLD,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUPPLY-ENERGY SOURCING SERV,Supply & Sustainability Services,SUSUP,SUPPLY,ENERGY SOURCING SERV,SUSUP-SUPPLY-ENERGY SOURCING SERV,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Honda,Mobility - Automotive,MCTA,Scott Cook,1,,,,,,,,,,ENMVT - Transformers,ENMVT,INMVT,,OLD,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;Microgrid;EcoStruxure Building;EcoStruxure Power,1,Power,Building,0,,,,,ENMVT - Transformers,ENMVT,PSMVT,,OLD,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUPPLY-GLOBAL RESEARCH/ANLYTC,Supply & Sustainability Services,SUSUP,SUPPLY,GLOBAL RESEARCH/ANLYTC,SUSUP-SUPPLY-GLOBAL RESEARCH/ANLYTC,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
PACCAR,Mobility - Automotive,CTA,Rob Morello,1,,,,,,,,,,ENSL2 - Energy Systems Level 2,ENSL2,INSL2,,OLD,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;Microgrid;EcoStruxure Grid;Commercial & Industrial,1,Grid,0,0,,,,,ENSL2 - Energy Systems Level 2,ENSL2,PSSL2,,OLD,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUPPLY-REG. CHG ANALYTICS,Supply & Sustainability Services,SUSUP,SUPPLY,REG. CHG ANALYTICS,SUSUP-SUPPLY-REG. CHG ANALYTICS,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Proterra,Mobility - Automotive,CTA Candidate,John Lindsey,1,,,,,,,,,,INMVE - MV Equipment,INMVE,INMVE,,Current,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;Microgrid;EcoStruxure Grid;EcoStruxure Power,1,Power,Grid,0,,,,,INMVE - MV Equipment,INMVE,PSMVE,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUPPLY-RISK MANAGEMENT,Supply & Sustainability Services,SUSUP,SUPPLY,RISK MANAGEMENT,SUSUP-SUPPLY-RISK MANAGEMENT,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Renault-Nissan,Mobility - Automotive,Strategic,David Youngblood,1,,,,,,,,,,INMVP - MV Product Switchboard,INMVP,INMVP,,Current,Power Systems,Power Systems,,,,,,,,Green/Energy Efficient Building;Solar,0,0,0,0,,,,,INMVP - MV Product Switchboard,INMVP,PSMVP,,Current,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUPPLY-SUP SOLUTIONS CONSULT,Supply & Sustainability Services,SUSUP,SUPPLY,SUP SOLUTIONS CONSULT,SUSUP-SUPPLY-SUP SOLUTIONS CONSULT,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
Rivian,Mobility - Automotive,CTA Candidate,Scott Cook,1,,,,,,,,,,INMVS - MV/LV Substations,INMVS,INMVT,,OLD,Power Systems,Power Systems,,,,,,,,Microgrid,0,0,0,0,,,,,INMVS - MV/LV Substations,INMVS,PSMVT,,OLD,Power Systems,Power Systems,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,,,,,,,,,SUSUP-SUSTAINABILITY-INSIGHTS,Supply & Sustainability Services,SUSUP,SUSTAINABILITY,INSIGHTS,SUSUP-SUSTAINABILITY-INSIGHTS,0,0,ENM SUSTAINABILITY,SUPPLY & SUST SERVICES,SUSUP-Supply & Sustainability Services,Power,,,,,,
